18:05:41	0.578	0.300	0.010	0.951	0.632	0.523	0.102	0.762	0.910	0.962
18:05:41	0.435	0.801	0.093	0.442	0.071	0.361	0.309	0.398	0.365	0.623
18:05:42	0.652	0.548	0.079	0.041	0.027	0.636	0.681	0.569	0.457	0.304
18:05:42	0.357	0.227	0.879	0.591	0.997	0.307	0.323	0.355	0.629	0.756
18:05:43	0.004	0.426	0.482	0.781	0.199	0.807	0.132	0.146	0.627	0.388
18:05:43	0.843	0.459	0.732	0.878	0.291	0.549	0.057	0.304	0.318	0.371
18:05:44	0.607	0.701	0.082	0.244	0.570	0.602	0.496	0.298	0.746	0.044
18:05:44	0.604	0.832	0.043	0.591	0.195	0.635	0.322	0.935	0.240	0.996
18:05:45	0.362	0.338	0.212	0.140	0.847	0.074	0.835	0.820	0.497	0.896
18:05:45	0.796	0.043	0.468	0.565	0.952	0.793	0.876	0.242	0.961	0.316
